timestamp,club,address,occupancy
2026-09-14 16:12:33,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-14 21:49:22,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-15 01:21:18,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-15 03:49:31,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-15 08:57:33,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-15 14:35:08,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-15 19:35:26,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-15 23:04:04,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-16 02:05:08,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-16 04:33:38,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-16 10:25:48,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-16 15:45:36,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-16 20:32:56,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-17 00:03:39,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-17 02:45:11,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-17 07:10:47,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-17 12:35:59,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-17 17:46:16,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-17 21:52:23,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-18 00:58:30,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-18 03:05:03,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-18 08:02:02,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-18 12:59:29,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-18 17:22:44,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-18 20:47:51,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-18 23:38:53,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-19 02:07:19,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-19 04:27:22,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-19 09:29:43,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-19 14:26:23,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-19 17:42:09,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-19 20:50:39,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-19 23:17:44,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-20 01:25:29,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-20 03:17:18,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-20 08:15:44,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-09-20 12:59:59,Riešė - nuo 09.29🥳,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
