timestamp,club,address,occupancy
2026-08-05 14:22:49,Pilaitė,"Vydūno g. 2, Vilnius",15%
2026-08-05 16:11:32,Pilaitė,"Vydūno g. 2, Vilnius",16%
2026-08-05 18:39:35,Pilaitė,"Vydūno g. 2, Vilnius",20%
2026-08-05 20:42:38,Pilaitė,"Vydūno g. 2, Vilnius",18%
2026-08-05 22:39:53,Pilaitė,"Vydūno g. 2, Vilnius",15%
2026-08-06 00:14:21,Pilaitė,"Vydūno g. 2, Vilnius",9%
2026-08-06 01:34:52,Pilaitė,"Vydūno g. 2, Vilnius",5%
2026-08-06 03:01:59,Pilaitė,"Vydūno g. 2, Vilnius",1%
2026-08-06 06:50:05,Pilaitė,"Vydūno g. 2, Vilnius",5%
2026-08-06 09:34:09,Pilaitė,"Vydūno g. 2, Vilnius",16%
2026-08-06 12:41:28,Pilaitė,"Vydūno g. 2, Vilnius",16%
2026-08-06 15:04:10,Pilaitė,"Vydūno g. 2, Vilnius",15%
2026-08-06 17:53:48,Pilaitė,"Vydūno g. 2, Vilnius",20%
2026-08-07 03:24:48,Pilaitė,"Vydūno g. 2, Vilnius",100%
2026-08-07 06:29:44,Pilaitė,"Vydūno g. 2, Vilnius",3%
2026-08-07 08:17:45,Pilaitė,"Vydūno g. 2, Vilnius",8%
2026-08-07 09:48:02,Pilaitė,"Vydūno g. 2, Vilnius",11%
2026-08-07 11:16:15,Pilaitė,"Vydūno g. 2, Vilnius",15%
2026-08-07 12:32:58,Pilaitė,"Vydūno g. 2, Vilnius",16%
2026-08-07 13:55:17,Pilaitė,"Vydūno g. 2, Vilnius",16%
2026-08-07 14:48:40,Pilaitė,"Vydūno g. 2, Vilnius",15%
2026-08-07 16:11:20,Pilaitė,"Vydūno g. 2, Vilnius",18%
2026-08-07 17:32:31,Pilaitė,"Vydūno g. 2, Vilnius",20%
2026-08-07 18:58:45,Pilaitė,"Vydūno g. 2, Vilnius",20%
2026-08-07 20:01:20,Pilaitė,"Vydūno g. 2, Vilnius",17%
2026-08-07 21:22:04,Pilaitė,"Vydūno g. 2, Vilnius",15%
2026-08-07 22:30:19,Pilaitė,"Vydūno g. 2, Vilnius",11%
2026-08-07 23:09:41,Pilaitė,"Vydūno g. 2, Vilnius",9%
2026-08-08 00:11:28,Pilaitė,"Vydūno g. 2, Vilnius",6%
2026-08-08 01:06:40,Pilaitė,"Vydūno g. 2, Vilnius",5%
2026-08-08 02:06:51,Pilaitė,"Vydūno g. 2, Vilnius",2%
2026-08-08 02:59:48,Pilaitė,"Vydūno g. 2, Vilnius",1%
2026-08-08 05:11:43,Pilaitė,"Vydūno g. 2, Vilnius",0%
2026-08-08 06:50:25,Pilaitė,"Vydūno g. 2, Vilnius",1%
2026-08-08 08:00:03,Pilaitė,"Vydūno g. 2, Vilnius",3%
2026-08-08 08:51:10,Pilaitė,"Vydūno g. 2, Vilnius",4%
2026-08-08 09:58:46,Pilaitė,"Vydūno g. 2, Vilnius",10%
2026-08-08 10:54:22,Pilaitė,"Vydūno g. 2, Vilnius",12%
2026-08-08 11:46:03,Pilaitė,"Vydūno g. 2, Vilnius",13%
2026-08-08 12:40:45,Pilaitė,"Vydūno g. 2, Vilnius",14%
