timestamp,club,address,occupancy
2025-10-28 12:26:07,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",20%
2025-10-28 12:47:23,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",21%
2025-10-28 13:18:44,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",21%
2025-10-28 13:38:58,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",17%
2025-10-28 14:48:08,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",15%
2025-10-28 15:33:20,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",20%
2025-10-28 16:24:11,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",34%
2025-10-28 16:46:53,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",39%
2025-10-28 17:26:38,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",46%
2025-10-28 17:45:43,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",46%
2025-10-28 18:31:06,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",49%
2025-10-28 19:21:44,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",56%
2025-10-28 19:43:02,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",54%
2025-10-28 20:35:05,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",46%
2025-10-28 21:18:21,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",36%
2025-10-28 21:39:14,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",23%
2025-10-28 22:26:41,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",13%
2025-10-28 22:44:54,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",10%
2025-10-28 23:20:37,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",9%
2025-10-28 23:40:17,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",8%
2025-10-29 00:21:54,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",6%
2025-10-29 00:42:44,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",3%
2025-10-29 01:20:50,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",1%
2025-10-29 01:40:03,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",1%
2025-10-29 03:53:09,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",1%
2025-10-29 05:18:25,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",1%
2025-10-29 05:59:32,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",4%
2025-10-29 06:35:15,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",8%
2025-10-29 07:23:39,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",23%
2025-10-29 07:44:03,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",24%
2025-10-29 08:35:39,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",26%
2025-10-29 09:22:41,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",20%
2025-10-29 09:41:23,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",15%
2025-10-29 10:32:19,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",14%
2025-10-29 11:24:36,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",11%
2025-10-29 11:42:32,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",16%
2025-10-29 12:25:52,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",28%
2025-10-29 12:46:51,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",29%
2025-10-29 13:20:00,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",31%
2025-10-29 13:40:05,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",30%
2025-10-29 14:50:34,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",16%
2025-10-29 15:35:31,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",19%
2025-10-29 16:24:21,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",27%
2025-10-29 16:47:25,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",33%
2025-10-29 17:26:52,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",42%
2025-10-29 17:46:39,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",44%
2025-10-29 18:31:23,Vilniaus Žalgiris - naujas✨,"Žalgirio g. 92, Vilnius",50%
