timestamp,club,address,occupancy
2025-09-12 07:25:03,Žalgirio arena,Karaliaus Mindaugo pr. 50,11%
2025-09-12 07:41:52,Žalgirio arena,Karaliaus Mindaugo pr. 50,13%
2025-09-12 08:19:42,Žalgirio arena,Karaliaus Mindaugo pr. 50,15%
2025-09-12 08:40:32,Žalgirio arena,Karaliaus Mindaugo pr. 50,17%
2025-09-12 09:32:46,Žalgirio arena,Karaliaus Mindaugo pr. 50,21%
2025-09-12 10:20:00,Žalgirio arena,Karaliaus Mindaugo pr. 50,21%
2025-09-12 10:38:00,Žalgirio arena,Karaliaus Mindaugo pr. 50,21%
2025-09-12 11:28:20,Žalgirio arena,Karaliaus Mindaugo pr. 50,20%
2025-09-12 11:46:59,Žalgirio arena,Karaliaus Mindaugo pr. 50,20%
2025-09-12 12:21:52,Žalgirio arena,Karaliaus Mindaugo pr. 50,22%
