timestamp,club,address,occupancy
2025-09-12 07:25:03,Šilainiai,Baltų pr. 16,10%
2025-09-12 07:41:52,Šilainiai,Baltų pr. 16,11%
2025-09-12 08:19:42,Šilainiai,Baltų pr. 16,15%
2025-09-12 08:40:32,Šilainiai,Baltų pr. 16,17%
2025-09-12 09:32:46,Šilainiai,Baltų pr. 16,22%
2025-09-12 10:20:00,Šilainiai,Baltų pr. 16,21%
2025-09-12 10:38:00,Šilainiai,Baltų pr. 16,20%
2025-09-12 11:28:20,Šilainiai,Baltų pr. 16,17%
2025-09-12 11:46:59,Šilainiai,Baltų pr. 16,16%
2025-09-12 12:21:52,Šilainiai,Baltų pr. 16,18%
2025-09-12 12:39:53,Šilainiai,Baltų pr. 16,17%
2025-09-12 13:22:44,Šilainiai,Baltų pr. 16,16%
2025-09-12 13:41:37,Šilainiai,Baltų pr. 16,14%
2025-09-12 14:17:47,Šilainiai,Baltų pr. 16,18%
2025-09-12 14:38:41,Šilainiai,Baltų pr. 16,19%
2025-09-12 15:42:31,Šilainiai,Baltų pr. 16,24%
2025-09-12 16:28:30,Šilainiai,Baltų pr. 16,28%
2025-09-12 16:43:37,Šilainiai,Baltų pr. 16,26%
2025-09-12 17:20:14,Šilainiai,Baltų pr. 16,30%
2025-09-12 17:42:09,Šilainiai,Baltų pr. 16,30%
2025-09-12 18:21:05,Šilainiai,Baltų pr. 16,33%
2025-09-12 18:38:37,Šilainiai,Baltų pr. 16,34%
2025-09-12 19:22:58,Šilainiai,Baltų pr. 16,32%
2025-09-12 19:43:12,Šilainiai,Baltų pr. 16,30%
2025-09-12 20:17:57,Šilainiai,Baltų pr. 16,28%
2025-09-12 20:38:55,Šilainiai,Baltų pr. 16,22%
2025-09-12 21:27:25,Šilainiai,Baltų pr. 16,16%
