timestamp,club,address,occupancy
2025-09-12 07:25:03,Šilainiai,Baltų pr. 16,10%
2025-09-12 07:41:52,Šilainiai,Baltų pr. 16,11%
2025-09-12 08:19:42,Šilainiai,Baltų pr. 16,15%
2025-09-12 08:40:32,Šilainiai,Baltų pr. 16,17%
2025-09-12 09:32:46,Šilainiai,Baltų pr. 16,22%
2025-09-12 10:20:00,Šilainiai,Baltų pr. 16,21%
2025-09-12 10:38:00,Šilainiai,Baltų pr. 16,20%
2025-09-12 11:28:20,Šilainiai,Baltų pr. 16,17%
2025-09-12 11:46:59,Šilainiai,Baltų pr. 16,16%
2025-09-12 12:21:52,Šilainiai,Baltų pr. 16,18%
2025-09-12 12:39:53,Šilainiai,Baltų pr. 16,17%
2025-09-12 13:22:44,Šilainiai,Baltų pr. 16,16%
