timestamp,club,address,occupancy
2026-08-05 14:22:49,Vilniaus Akropolis,"Ozo g. 25, Vilnius",23%
2026-08-05 16:11:32,Vilniaus Akropolis,"Ozo g. 25, Vilnius",19%
2026-08-05 18:39:35,Vilniaus Akropolis,"Ozo g. 25, Vilnius",48%
2026-08-05 20:42:38,Vilniaus Akropolis,"Ozo g. 25, Vilnius",45%
2026-08-05 22:39:53,Vilniaus Akropolis,"Ozo g. 25, Vilnius",14%
2026-08-06 00:14:21,Vilniaus Akropolis,"Ozo g. 25, Vilnius",6%
2026-08-06 01:34:52,Vilniaus Akropolis,"Ozo g. 25, Vilnius",0%
2026-08-06 03:01:59,Vilniaus Akropolis,"Ozo g. 25, Vilnius",100%
2026-08-06 06:50:05,Vilniaus Akropolis,"Ozo g. 25, Vilnius",2%
2026-08-06 09:34:09,Vilniaus Akropolis,"Ozo g. 25, Vilnius",8%
2026-08-06 12:41:28,Vilniaus Akropolis,"Ozo g. 25, Vilnius",27%
2026-08-06 15:04:10,Vilniaus Akropolis,"Ozo g. 25, Vilnius",29%
2026-08-06 17:53:48,Vilniaus Akropolis,"Ozo g. 25, Vilnius",30%
2026-08-07 03:24:48,Vilniaus Akropolis,"Ozo g. 25, Vilnius",100%
2026-08-07 06:29:44,Vilniaus Akropolis,"Ozo g. 25, Vilnius",2%
2026-08-07 08:17:45,Vilniaus Akropolis,"Ozo g. 25, Vilnius",3%
2026-08-07 09:48:02,Vilniaus Akropolis,"Ozo g. 25, Vilnius",10%
2026-08-07 11:16:15,Vilniaus Akropolis,"Ozo g. 25, Vilnius",15%
2026-08-07 12:32:58,Vilniaus Akropolis,"Ozo g. 25, Vilnius",26%
2026-08-07 13:55:17,Vilniaus Akropolis,"Ozo g. 25, Vilnius",25%
2026-08-07 14:48:40,Vilniaus Akropolis,"Ozo g. 25, Vilnius",27%
2026-08-07 16:11:20,Vilniaus Akropolis,"Ozo g. 25, Vilnius",19%
2026-08-07 17:32:31,Vilniaus Akropolis,"Ozo g. 25, Vilnius",29%
2026-08-07 18:58:45,Vilniaus Akropolis,"Ozo g. 25, Vilnius",37%
2026-08-07 20:01:20,Vilniaus Akropolis,"Ozo g. 25, Vilnius",35%
