timestamp,club,address,occupancy
2026-09-22 01:44:53,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",5%
2026-09-22 04:29:59,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",1%
2026-09-22 09:44:21,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",18%
2026-09-22 15:28:28,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",34%
2026-09-22 20:12:25,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",52%
2026-09-22 23:25:23,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",16%
2026-09-23 02:11:26,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",2%
2026-09-23 04:41:32,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",0%
2026-09-23 10:32:47,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",15%
2026-09-23 16:27:56,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",33%
2026-09-23 20:56:14,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",42%
2026-09-24 00:22:23,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",9%
2026-09-24 02:53:39,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",1%
2026-09-24 06:55:46,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",5%
2026-09-24 12:10:07,Savanoriai – ĮKRAUTAS NAUJAI🔋,"Savanorių pr. 168, Kaunas",24%
