timestamp,club,address,occupancy
2025-09-12 07:25:03,Antakalnis,Antakalnio g. 37,3%
2025-09-12 07:41:52,Antakalnis,Antakalnio g. 37,3%
2025-09-12 08:19:42,Antakalnis,Antakalnio g. 37,5%
2025-09-12 08:40:32,Antakalnis,Antakalnio g. 37,8%
2025-09-12 09:32:46,Antakalnis,Antakalnio g. 37,8%
2025-09-12 10:20:00,Antakalnis,Antakalnio g. 37,10%
2025-09-12 10:38:00,Antakalnis,Antakalnio g. 37,10%
2025-09-12 11:28:20,Antakalnis,Antakalnio g. 37,9%
2025-09-12 11:46:59,Antakalnis,Antakalnio g. 37,9%
2025-09-12 12:21:52,Antakalnis,Antakalnio g. 37,11%
2025-09-12 12:39:53,Antakalnis,Antakalnio g. 37,11%
2025-09-12 13:22:44,Antakalnis,Antakalnio g. 37,14%
2025-09-12 13:41:37,Antakalnis,Antakalnio g. 37,14%
2025-09-12 14:17:47,Antakalnis,Antakalnio g. 37,16%
2025-09-12 14:38:41,Antakalnis,Antakalnio g. 37,16%
2025-09-12 15:42:31,Antakalnis,Antakalnio g. 37,17%
2025-09-12 16:28:30,Antakalnis,Antakalnio g. 37,17%
2025-09-12 16:43:37,Antakalnis,Antakalnio g. 37,19%
2025-09-12 17:20:14,Antakalnis,Antakalnio g. 37,18%
2025-09-12 17:42:09,Antakalnis,Antakalnio g. 37,18%
2025-09-12 18:21:05,Antakalnis,Antakalnio g. 37,17%
2025-09-12 18:38:37,Antakalnis,Antakalnio g. 37,18%
2025-09-12 19:22:58,Antakalnis,Antakalnio g. 37,17%
2025-09-12 19:43:12,Antakalnis,Antakalnio g. 37,20%
2025-09-12 20:17:57,Antakalnis,Antakalnio g. 37,18%
2025-09-12 20:38:55,Antakalnis,Antakalnio g. 37,18%
2025-09-12 21:27:25,Antakalnis,Antakalnio g. 37,14%
2025-09-12 21:45:00,Antakalnis,Antakalnio g. 37,9%
2025-09-12 22:16:32,Antakalnis,Antakalnio g. 37,7%
2025-09-12 22:38:31,Antakalnis,Antakalnio g. 37,7%
2025-09-12 23:22:46,Antakalnis,Antakalnio g. 37,4%
2025-09-12 23:39:30,Antakalnis,Antakalnio g. 37,3%
2025-09-13 00:17:57,Antakalnis,Antakalnio g. 37,2%
2025-09-13 00:38:14,Antakalnis,Antakalnio g. 37,1%
2025-09-13 01:19:09,Antakalnis,Antakalnio g. 37,0%
2025-09-13 01:39:30,Antakalnis,Antakalnio g. 37,1%
2025-09-13 02:18:11,Antakalnis,Antakalnio g. 37,1%
2025-09-13 02:38:49,Antakalnis,Antakalnio g. 37,1%
2025-09-13 04:36:25,Antakalnis,Antakalnio g. 37,1%
2025-09-13 05:49:52,Antakalnis,Antakalnio g. 37,0%
2025-09-13 06:24:06,Antakalnis,Antakalnio g. 37,0%
2025-09-13 06:40:37,Antakalnis,Antakalnio g. 37,0%
2025-09-13 07:24:12,Antakalnis,Antakalnio g. 37,2%
2025-09-13 07:41:29,Antakalnis,Antakalnio g. 37,3%
2025-09-13 08:19:08,Antakalnis,Antakalnio g. 37,3%
2025-09-13 08:39:17,Antakalnis,Antakalnio g. 37,4%
2025-09-13 09:28:37,Antakalnis,Antakalnio g. 37,8%
2025-09-13 09:45:41,Antakalnis,Antakalnio g. 37,8%
2025-09-13 10:17:41,Antakalnis,Antakalnio g. 37,9%
2025-09-13 10:38:09,Antakalnis,Antakalnio g. 37,10%
2025-09-13 11:24:44,Antakalnis,Antakalnio g. 37,12%
2025-09-13 11:42:01,Antakalnis,Antakalnio g. 37,12%
2025-09-13 12:19:06,Antakalnis,Antakalnio g. 37,13%
2025-09-13 12:38:10,Antakalnis,Antakalnio g. 37,14%
2025-09-13 13:19:34,Antakalnis,Antakalnio g. 37,13%
2025-09-13 13:39:04,Antakalnis,Antakalnio g. 37,13%
