timestamp,club,address,occupancy
2025-10-01 09:33:46,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 10:22:09,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 10:40:52,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 11:30:10,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 11:50:53,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 12:25:02,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 12:42:22,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 13:23:36,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 13:43:42,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 14:18:55,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 14:39:05,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 15:48:31,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 16:31:58,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 17:22:37,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 17:44:49,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 18:22:51,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 18:42:00,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 19:27:57,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 19:48:08,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 20:19:22,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 20:41:02,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 21:31:59,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 22:17:26,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 22:38:46,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 23:24:44,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-01 23:41:14,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-02 00:19:16,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-02 00:38:36,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-02 01:19:44,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-02 01:40:23,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
2025-10-02 02:19:14,PC Akropolis - nuo 10.28 🔜,Ozo g. 25,100%
