timestamp,club,address,occupancy
2025-09-22 11:30:51,Vilniaus Žalgiris - naujausias🥳,Žalgirio g. 92,13%
2025-09-22 12:27:05,Vilniaus Žalgiris - naujausias🥳,Žalgirio g. 92,28%
2025-09-22 12:44:45,Vilniaus Žalgiris - naujausias🥳,Žalgirio g. 92,27%
2025-09-22 13:25:08,Vilniaus Žalgiris - naujausias🥳,Žalgirio g. 92,25%
2025-09-22 13:44:50,Vilniaus Žalgiris - naujausias🥳,Žalgirio g. 92,24%
2025-09-22 14:18:52,Vilniaus Žalgiris - naujausias🥳,Žalgirio g. 92,23%
2025-09-22 14:39:01,Vilniaus Žalgiris - naujausias🥳,Žalgirio g. 92,13%
2025-09-22 15:46:52,Vilniaus Žalgiris - naujausias🥳,Žalgirio g. 92,17%
2025-09-22 16:31:34,Vilniaus Žalgiris - naujausias🥳,Žalgirio g. 92,24%
2025-09-22 17:22:58,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",36%
2025-09-22 17:44:40,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",39%
2025-09-22 18:24:41,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",52%
2025-09-22 18:42:10,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",57%
2025-09-22 19:28:26,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",58%
2025-09-22 19:45:52,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",58%
2025-09-22 20:24:22,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",46%
2025-09-22 20:39:28,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",40%
2025-09-22 21:29:29,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",21%
2025-09-22 21:49:08,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",20%
2025-09-22 22:17:56,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",12%
2025-09-22 22:39:29,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",11%
2025-09-22 23:23:45,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",10%
2025-09-22 23:41:12,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",9%
2025-09-23 00:18:34,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",6%
2025-09-23 00:37:53,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",4%
2025-09-23 01:19:51,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",1%
2025-09-23 01:40:19,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",1%
2025-09-23 02:19:36,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",100%
2025-09-23 02:38:29,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",100%
2025-09-23 04:41:21,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",100%
2025-09-23 05:59:58,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",2%
2025-09-23 06:35:12,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",5%
2025-09-23 07:26:18,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",10%
2025-09-23 07:44:08,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",11%
2025-09-23 08:21:23,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",13%
2025-09-23 08:41:23,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",15%
2025-09-23 09:33:32,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",13%
2025-09-23 10:21:34,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",14%
2025-09-23 10:40:15,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",12%
2025-09-23 11:29:05,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",10%
2025-09-23 11:49:13,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",10%
2025-09-23 12:23:49,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",13%
2025-09-23 12:41:28,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",13%
2025-09-23 13:23:18,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",13%
2025-09-23 13:43:27,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",11%
2025-09-23 14:17:50,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",10%
2025-09-23 14:39:00,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",7%
2025-09-23 15:44:31,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",17%
2025-09-23 16:31:16,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",31%
2025-09-23 17:22:10,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",45%
2025-09-23 17:44:15,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",52%
2025-09-23 18:23:29,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",57%
2025-09-23 18:42:25,Vilniaus Žalgiris - naujausias🥳,"Žalgirio g. 92, Vilnius",54%
