timestamp,club,address,occupancy
2026-09-16 15:45:36,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-16 20:32:56,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-17 00:03:39,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-17 02:45:11,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-17 07:10:47,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-17 12:35:59,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-17 17:46:16,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-17 21:52:23,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-18 00:58:30,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-18 03:05:03,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-18 08:02:02,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-18 12:59:29,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-18 17:22:44,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-18 20:47:51,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-18 23:38:53,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-19 02:07:19,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-19 04:27:22,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-19 09:29:43,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-19 14:26:23,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-19 17:42:09,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-19 20:50:39,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-19 23:17:44,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-20 01:25:29,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
2026-09-20 03:17:18,Saulėtekis - jau lapkritį 🔜,"Saulėtekio al. 17, Vilnius",100%
