timestamp,club,address,occupancy
2026-08-05 14:22:49,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-05 16:11:32,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-05 18:39:35,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-05 20:42:38,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-05 22:39:53,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-06 00:14:21,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-06 01:34:52,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-06 03:01:59,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-06 06:50:05,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-06 09:34:09,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-06 12:41:28,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-06 15:04:10,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-06 17:53:48,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 03:24:48,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 06:29:44,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 08:17:45,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 09:48:02,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 11:16:15,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 12:32:58,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 13:55:17,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 14:48:40,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 16:11:20,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 17:32:31,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 18:58:45,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 20:01:20,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 21:22:04,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 22:30:19,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-07 23:09:41,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 00:11:28,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 01:06:40,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 02:06:51,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 02:59:48,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 05:11:43,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 06:50:25,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 08:00:03,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 08:51:10,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 09:58:46,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 10:54:22,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 11:46:03,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 12:40:45,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
2026-08-08 13:37:03,Riešė - jau rugsėjį🔜,"Molėtų g. 13, Didžioji Riešė, Vilniaus r.",100%
